sim_0,sim_1,sim_2,sim_3
6.679423045616489,6.673708438841461,6.675725358879706,6.718873041126441
6.686266167174819,6.670274872585879,6.670130806868861,6.713806730077992
6.679783209909032,6.664800375339214,6.6660489448866995,6.7040102613208035
6.686458254797508,6.6621831814800645,6.67908689227678,6.7008888374520925
6.68427325808941,6.669650587812137,6.660334338111673,6.688979404845314
6.6918847301385,6.677478158436752,6.666409109179244,6.692749124440605
6.700024443149987,6.686050068599293,6.676421676511957,6.695030164960048
6.70192130842405,6.679879253720377,6.6652085615374315,6.708044101397293
6.695606427828118,6.675749369832542,6.654451654666793,6.699640267904607
6.702569604150629,6.682136283286985,6.664248123423981,6.701513122225835
6.704274381802002,6.6811758451735335,6.665760813452664,6.700624716970895
6.698031534064579,6.68350490759865,6.666985372047313,6.705162787056944
6.688979404845314,6.677958377493477,6.6690743249440665,6.696758953564258
6.692941212063295,6.683216776164616,6.669674598764972,6.694670000667505
6.6945979678089955,6.678030410351987,6.670899157359622,6.686842430042888
6.6849455647688245,6.670490971161405,6.676301621747776,6.68273655710789
6.689435612949202,6.666265043462225,6.675605304115525,6.687274627193941
6.679999308484558,6.665112517726086,6.681007768503681,6.683865071891194
6.671043223076639,6.652602811298402,6.682160294239821,6.675245139822982
6.67646969841763,6.649241277901328,6.674020581228333,6.666168999650881
6.666193010603717,6.661054666696761,6.67819848702184,6.668786193510031
6.670659047831259,6.677838322729297,6.674380745520877,6.6785586513143835
6.673516351218772,6.67685387366301,6.6819201847114575,6.66924240161392
6.670490971161405,6.689051437703823,6.6811758451735335,6.669554544000791
6.676877884615846,6.689387591043531,6.687106550524087,6.668642127793015
6.680503538494119,6.697311205479491,6.6862901781276545,6.669650587812137
6.66751361300971,6.706123225170394,6.685329740014205,6.6741886578981875
6.677190027002717,6.69438186923347,6.700696749829403,6.676757829851664
6.669002292085558,6.694525934950487,6.689291547232186,6.681632053277424
6.668257952547634,6.692052806808354,6.691524565845956,6.6790628813239445
6.6620151048102105,6.685737926212422,6.69591857021499,6.683865071891194
6.668498062075997,6.686386221938999,6.68900341579815,6.688042977684701
6.666529163943424,6.680935735645172,6.687322649099613,6.682592491390873
6.66828196350047,6.684753477146135,6.684321279995082,6.675413216492835
6.67646969841763,6.683192765211778,6.6841051814195565,6.67589343554956
6.685209685250023,6.687514736722304,6.675605304115525,6.665160539631759
6.69680697546993,6.689579678666221,6.671019212123803,6.66501647391474
6.697263183573819,6.679567111333506,6.660286316206001,6.668594105887341
6.689867810100255,6.672123715954269,6.667705700632401,6.680479527541283
6.689531656760548,6.670034763057516,6.664416200093835,6.690636160591015
6.694790055431685,6.677142005097045,6.676109534125086,6.684753477146135
6.70353004226408,6.672123715954269,6.681439965654733,6.687274627193941
6.701825264612706,6.665064495820413,6.686842430042888,6.671451409274854
6.69603862497917,6.668017843019272,6.677117994144209,6.660310327158837
6.69003588677011,6.668113886830617,6.678126454163331,6.661943071951701
6.692196872525371,6.677982388446313,6.683192765211778,6.653971435610068
6.682448425673856,6.67339629645459,6.689603689619057,6.663551805791729
6.680503538494119,6.675605304115525,6.687226605288268,6.673180197879065
6.690756215355196,6.672147726907105,6.685377761919877,6.6646322986693605
6.693781595412563,6.674644866002075,6.689387591043531,6.676949917474356
6.693637529695546,6.67966315514485,6.6939256611295805,6.67992727562605
6.692364949195225,6.681944195664295,6.6993761474234095,6.691596598704466
6.69949620218759,6.6868664409957255,6.699520213140426,6.6882110543545545
6.700792793640747,6.685257707155696,6.694405880186306,6.691356489176103
6.689051437703823,6.686338200033327,6.689363580090694,6.687994955779027
6.688139021496046,6.687226605288268,6.672123715954269,6.6834328747401415
6.693853628271071,6.691140390600576,6.678942826559763,6.681223867079207
6.701825264612706,6.693709562554055,6.67973518800336,6.676613764134648
6.7009848812634365,6.690444072968325,6.690203963439962,6.6721717378599426
6.694285825422124,6.680047330390232,6.686410232891835,6.68273655710789
6.683600951409995,6.684993586674498,6.703217899877209,6.677310081766898
6.692989233968968,6.673060143114883,6.694886099243031,6.682664524249382
6.696374778318877,6.678798760842747,6.688787317222625,6.694886099243031
6.705210808962616,6.66905031399123,6.687058528618415,6.687274627193941
6.705306852773962,6.669146357802576,6.6969510411869475,6.677358103672571
6.693949672082417,6.667705700632401,6.693493463978529,6.6732762416904094
6.710349152869574,6.680935735645172,6.682760568060727,6.666289054415063
6.699736311715951,6.677358103672571,6.671979650237253,6.671979650237253
6.697407249290837,6.69246099300657,6.662543345772607,6.679879253720377
6.694910110195867,6.686434243844673,6.672579924058158,6.6819201847114575
6.691212423459085,6.700192519819842,6.6684020182646515,6.69265308062926
6.6878749010148475,6.701273012697472,6.664776364386379,6.698679829791158
6.7018972974712145,6.703001801301681,6.6690743249440665,6.693877639223909
6.695654449733791,6.706507400415774,6.672579924058158,6.688283087213063
6.687514736722304,6.71126156907735,6.675413216492835,6.67973518800336
6.6842012252309,6.711237558124514,6.681223867079207,6.684897542863152
6.676973928427191,6.713710686266648,6.679206947040962,6.673228219784738
6.672844044539357,6.720721884494831,6.683168754258943,6.673996570275497
6.660670491451381,6.7270847869964365,6.681728097088768,6.678174476069004
6.675989479360905,6.714286949134717,6.688187043401717,6.681007768503681
