,Computerisation Probability,u,e,c_u,c_e,u_start,u_change,c_u_start,c_u_change,size
111,0.1005,0.04605246309794246,4536.897435897436,0.06313418362607161,4602.764102564102,0.051028533510285336,-9.751545008323422,0.06580976863753213,-4.065635036945871,48.578970450149605
112,0.0875,0.05086828986999423,28960.05641025641,0.06328455520874199,29349.989743589744,0.056285139312462394,-9.623942498208915,0.06643626753405164,-4.743963564320132,110.18767323377907
121,0.069,0.052258327387807495,20075.389743589745,0.06319326834665352,20355.97435897436,0.06081622168834897,-14.071729651993456,0.0662318410910169,-4.587782393347216,87.7218629014559
122,0.3239333333333333,0.05057023443748798,7914.958974358974,0.06374946292681963,8012.225641025641,0.054473316205405055,-7.165126046667586,0.06615033011681057,-3.6294107463279555,57.068514683152756
123,0.423125,0.051988667114488456,10094.360256410257,0.06409629941423657,10205.117948717949,0.055823407071280015,-6.869412237585287,0.06609965794582602,-3.03081527779064,62.55236106595524
124,0.1337142857142857,0.04821263743119814,4332.134615384615,0.06321625282562218,4390.671794871795,0.04852078981063414,-0.6350934942292692,0.06594566077552097,-4.138874215226521,48.06481574729757
125,0.117,0.05737272607468422,34535.09102564103,0.06334761973027767,34980.13333333333,0.0661950351605524,-13.3277504339565,0.06640546513964235,-4.6048098645712665,124.30837807326553
129,0.2976470588235293,0.05535411861890766,21485.358974358973,0.06373047168647049,21747.923076923078,0.06022677608896227,-8.090516853927397,0.06617717173643559,-3.697196458787317,91.28368909045254
131,0.035,0.050724106455294064,13131.551282051281,0.0631028832995889,13310.34358974359,0.0571982779013105,-11.318822320467273,0.06619757429867605,-4.67493111624341,70.20237507585367
132,0.5303076923076923,0.05486957394656079,9366.732051282052,0.064564094894563,9462.31794871795,0.056354105998835176,-2.6342926144637406,0.06628321007943029,-2.593590718987808,60.72094582130179
133,0.0175,0.04785948854632311,7652.087179487179,0.06300565867188371,7761.292307692308,0.053709491692712615,-10.891935414058743,0.06593935504572437,-4.44908260295593,56.4074113715635
134,0.25,0.05211442929359753,10442.975641025641,0.06355923541764805,10571.748717948718,0.056459975114060555,-7.696683910476657,0.06602434077079107,-3.733631149307253,63.430001035575124
135,0.355,0.04789525942228482,3678.2833333333333,0.06346207208079244,3721.297435897436,0.04906333630686887,-2.3807530683976705,0.06517094017094018,-2.622132020292268,46.42337356818865
136,0.16366666666666665,0.057883965784978904,19105.305128205127,0.06341721287847629,19361.317948717948,0.059449059642947694,-2.63266377528724,0.06627920629329576,-4.31808643295259,85.27207995126612
137,0.03,0.0545654428422315,20200.925641025642,0.06310707274706963,20487.748717948718,0.05684217014129648,-4.005349010084526,0.06618001930501931,-4.643314689569178,88.03893171359738
138,0.6751333333333334,0.043309425447727846,450.0910256410256,0.06762067714004251,461.0974358974359,0.044358311800172266,-2.3645768061902355,0.05901639344262295,14.57948070951647,38.32799244909209
141,0.007300000000000002,0.048075596079573416,12601.415384615384,0.06307272823675004,12777.338461538462,0.05324050886507062,-9.701095830219863,0.06638556579721513,-4.9902979972855235,68.86646506907965
142,0.015,0.04726126475758824,5482.673076923077,0.06297213563494825,5566.584615384615,0.05511947362345608,-14.25668343560484,0.06608422939068101,-4.709283567996969,50.95447412757309
149,0.0482,0.04279381264639621,1317.123076923077,0.06145175088604683,1339.0051282051281,0.047103155911446065,-9.148735751700848,0.06198723792160438,-0.8638665853038617,40.50074891134146
151,0.0073,0.04784960574440116,14478.121794871795,0.06302446897388565,14683.266666666666,0.05706196232168137,-16.144479093351936,0.06603532121832609,-4.55945725543751,73.5967590436044
152,0.006999999999999999,0.046382364320967845,5959.476923076923,0.06277024194872237,6031.405128205128,0.057225063938618925,-18.94746614749306,0.06523997506752545,-3.78561321681504,52.15247631750543
153,0.08365,0.04722410657102874,11468.420512820512,0.06321573938343167,11620.938461538462,0.055380163114969745,-14.72739711331105,0.0662892434379825,-4.636504951857343,66.01224399069237
154,0.016550000000000002,0.022329586335547533,855.3525641025641,0.06117321328326402,883.3589743589744,0.03768752286864252,-40.75071897567825,0.060393258426966294,1.2914601341487937,39.343419724833
159,0.25,0.052001576670490754,17156.124358974357,0.0636013183149241,17380.85128205128,0.060069727997989826,-13.431309906662246,0.06614017769002961,-3.83860380146549,80.35185999593152
161,0.1054,0.047701391582372035,7217.816666666667,0.06321934901990645,7318.54358974359,0.05291201982651797,-9.847721295142316,0.06626894550145114,-4.601848510593722,55.31541940527934
171,0.0039,0.04508181544579201,1818.302564102564,0.06222197928623672,1847.6102564102564,0.048372911169744945,-6.803592432971791,0.06381534283774609,-2.496834586567348,41.75721452492992
172,0.083,0.04954713008886849,8802.3,0.0632685191414923,8924.76923076923,0.049192187123221605,0.7215433718321743,0.06636278321490817,-4.662649641133125,59.30066124941536
173,0.20000000000000004,0.050389993553850425,12138.320512820514,0.06350552396710986,12306.353846153846,0.05623166986121054,-10.388587644255235,0.06626397403534079,-4.162820157390133,67.69970175126323
174,0.197,0.04655376172898523,1424.2641025641026,0.06171792152704135,1451.9794871794873,0.04661354581673307,-0.12825475234792383,0.06197398622800306,-0.41318094340365225,40.76932163832603
179,0.16875,0.04925728091173189,7847.324358974359,0.06325763981157145,7954.1435897435895,0.052193978463116256,-5.626506424413748,0.06593563087439476,-4.061523378649084,56.89841138031099
211,0.29963636363636365,0.047754528020455995,6445.511538461538,0.06362622060897237,6524.594871794872,0.052323454079765824,-8.732080363701932,0.06633867640057134,-4.088799986331365,53.373948774027795
212,0.1484,0.04827491177353329,2187.1935897435897,0.06304923917690901,2213.851282051282,0.05828707375099128,-17.177328236155812,0.06580310880829016,-4.185014479185524,42.68226786803571
213,0.1305157894736842,0.04753421006152021,7549.73717948718,0.06327244354286984,7646.497435897436,0.05075451151213441,-6.344857540091365,0.06637302551640341,-4.671448904747137,56.15002908397366
214,0.07375000000000001,0.07936750537341566,104949.00256410257,0.06326550476576928,106404.65128205129,0.09659669351983002,-17.836209003238228,0.06637783785618136,-4.688813602448853,303.65562449066806
216,0.2906,0.05100005051153037,11730.32435897436,0.06362216276896863,11887.297435897435,0.055266229684834335,-7.71932371293034,0.06610555847799404,-3.756712394846657,66.67192213971428
217,0.09063636363636364,0.04992018837147122,16719.053846153845,0.06324896924140364,16943.251282051282,0.05558548850574713,-10.19204883607375,0.06620747821197638,-4.468541999289706,79.248983177025
218,0.2667777777777778,0.049821174608806126,7993.328205128205,0.06365905277947394,8099.733333333334,0.054342715120575,-8.320417008492365,0.06633520868768808,-4.034291835597769,57.26562210711868
221,0.0042,0.05279009054870795,48120.114102564105,0.06309096607743322,48793.794871794875,0.07285568435880536,-27.541562455548164,0.0663493696938513,-4.910979006210571,158.780006200808
222,0.009000000000000001,0.060129125455396275,103606.73333333334,0.06313007241297736,105080.7435897436,0.08475988195710163,-29.059451161306935,0.06636567235299724,-4.875411979268163,300.22421309671216
223,0.11166666666666664,0.049791106389436936,25083.839743589742,0.06330833045235978,25412.958974358975,0.06046205241612949,-17.648997346715703,0.0663182722101466,-4.53863114565024,100.38012871455852
224,0.006999999999999999,0.045602452578182844,10608.569230769232,0.06296982159391341,10763.57435897436,0.051149287681072665,-10.84440342058249,0.0660069848661234,-4.601275574653224,63.84692499986032
225,0.038,0.037547222498897255,2774.983333333333,0.06276394251194564,2839.5897435897436,0.05139090604401743,-26.938002480950146,0.06626245127760935,-5.279775647004907,44.15664878194719
226,0.0215,0.04402382283925349,7440.246153846154,0.06295170511824871,7555.189743589744,0.05075132275132275,-13.255811961854565,0.0657786548265088,-4.297670293982394,55.874701855450496
227,0.012436363636363636,0.04721963820967519,24514.44871794872,0.06308325978797671,24852.533333333333,0.05309267060900037,-11.061851536113116,0.06619088304769563,-4.694941533684684,98.94023317280117
228,0.02235,0.047658530497759664,11926.180769230768,0.06305102189334007,12082.538461538461,0.054175002632410235,-12.028558962638769,0.06618705035971223,-4.738129965497071,67.16528313142486
231,0.032,0.05226534240869452,43061.692307692305,0.06315555099164376,43651.05641025641,0.0625560007741547,-16.45031369989977,0.06635365991628012,-4.819792802192801,145.93486641263777
232,0.1344,0.048737493158483663,11537.865384615385,0.06334951506174463,11690.430769230768,0.05220220093018527,-6.637091367728492,0.06638921918351169,-4.578611044309427,66.18715407840061
233,0.0078,0.05119016113758581,36881.85384615385,0.0631190817108525,37396.46666666667,0.060070942546769215,-14.783822315205274,0.06642325986467475,-4.974429379939965,130.2571778959104
234,0.08153333333333332,0.081151855840597,223965.6846153846,0.06344799275021255,227065.94871794872,0.10483379820363878,-22.589987932174125,0.06643948705234451,-4.5025848856646045,609.0874517095355
