year,e_trend,hours/week,average_hours/week,average_hours/year
2013,4703355.0,142376666.66666666,30.27129924631814,1574.1075608085432
2014,4772862.5,145422500.0,30.46861291311032,1584.3678714817365
2015,4838350.0,146682500.0,30.316636870007336,1576.4651172403815
2016,4912230.0,150367500.0,30.61084273334107,1591.7638221337356
2017,5021002.5,152466666.66666666,30.365781866602667,1579.0206570633386
2018,5095770.0,154645833.33333334,30.347883309751683,1578.0899321070876
2019,5129777.5,154223333.33333334,30.064331900035302,1563.3452588018358
