ssyk3,Computerisation Probability,swedish,english,2014,2015,2016,2017,2018,post-shock demand
312,0.12,Arbetsledare inom bygg och tillverkning m.m.,Construction and manufacturing supervisors,19003,19633,21382,23008,25192,39160
315,0.38,"Piloter, fartygs- och maskinbefäl m.fl.","Pilots, ship and machine officers",4970,4924,5295,5449,5342,5850
321,0.57,"Biomedicinska analytiker, tandtekniker och laboratorieingenjörer m.fl.","Biomedical analysts, dental technicians and labratory engineers",26210,26883,27193,26550,27132,20608
323,0.13,Terapeuter inom alternativmedicin,Therapists in alternative medicine,86,76,119,130,117,179
324,0.44,Djursjukskötare m.fl.,Animal nurses and others,1839,1977,2127,2466,2767,2737
325,0.59,Tandhygienister,Dental hygienists,3671,3700,3773,3783,3831,2774
331,0.51,Banktjänstemän och redovisningsekonomer m.fl.,Bankers and accountants,56713,55560,56687,57590,57890,50107
332,0.37,"Försäkringsrådgivare, företagssäljare och inköpare m.fl.","Insurance advisors, business sales and purchasing ",136702,135499,134197,136544,137701,153241
333,0.47,Förmedlare m.fl.,Intermediares and others,31974,32477,36325,37695,32167,30115
334,0.64,"Juristsekreterare, chefssekreterare och institutionssekreterare m.fl.","Legal secretary, chief secretary and department secretary",9498,10180,11529,12553,17615,11201
335,0.44,Skatte- och socialförsäkringshandläggare m.fl.,Tax and social security officers,44828,45789,47554,45312,44014,43538
336,0.4,Poliser,Police officers,16395,16152,15947,15853,16319,17295
341,0.13,Behandlingsassistenter och pastorer,Treatment assitants and pastors,18571,20355,25709,24543,21218,32607
342,0.14,Idrottsutövare och fritidsledare m.fl.,Athletes and leisure coaches,20438,21529,23871,25072,27120,41199
343,0.42,"Fotografer, dekoratörer och underhållningsartister m.fl.","Photographers, decorators and entertainment artists",6440,6992,7466,7123,7108,7282
344,0.09,Trafiklärare och instruktörer,Trafic teachers and instructors,5358,5602,6211,6619,6334,10181
345,0.36,Köksmästare och souschefer,Chefs and sous chefs,3376,3414,3647,3809,4031,4557
351,0.18,"Drift-, support- och nätverkstekniker m.fl.","Operation, support and network technicians",45096,45384,46483,46927,46896,67928
352,0.61,"Bild-, ljud- och ljustekniker m.fl.","Image, sound and lighting technicians",3633,3717,3891,4086,4345,2993
411,0.88,Kontorsassistenter och sekreterare,Office assistants and secretaries,172049,172547,174494,174212,171935,36445
421,0.67,Croupierer och inkasserare,Croupiers and debt collectors,1782,1809,1736,1954,2356,1373
422,0.73,"Resesäljare, kundtjänstpersonal och receptionister m.fl.","Travel agents, customer service personell and receptionists",53131,57965,62331,64669,65140,31067
432,0.78,Lagerpersonal och transportledare m.fl.,Warehouse workers and transport managers,87463,93448,93679,96346,101966,39625
441,0.96,Biblioteks- och arkivassistenter m.fl.,Library and Archive Assistants,3408,3419,3463,3321,3320,234
442,0.86,Brevbärare och postterminalarbetare,Mail and post workers,18200,17897,16842,17090,17093,4227
443,0.67,Förtroendevalda,Elected official,548,536,869,968,962,560
511,0.37,"Kabinpersonal, tågmästare och guider m.fl.","Cabin crew, train personell and guides",7975,7912,8050,8431,8788,9779
512,0.73,Kockar och kallskänkor,Cooks and cold bar attendants,37220,39091,39641,41042,41600,19840
513,0.86,"Hovmästare, servitörer och bartendrar","Head waitors, waitors and bartenders",21491,23940,23619,25794,26254,6492
514,0.34,Skönhets- och kroppsterapeuter,Beauty and body therapists,7154,8132,9692,9997,10672,12441
515,0.78,Städledare och fastighetsskötare m.fl.,Cleaning managers and property managers,39417,41091,42803,43635,45555,17703
516,0.36,Övrig servicepersonal,Other servicepersonell,2522,2807,3309,3575,3975,4493
522,0.64,Butikspersonal,Shop staff,205147,221697,223919,224222,226353,143942
523,0.93,Kassapersonal m.fl.,Cashiers and others,13567,14887,15101,15316,13400,1656
524,0.85,Eventsäljare och telefonförsäljare m.fl.,Event sales and telemarketing,8201,8747,9241,9524,8637,2288
531,0.24,Barnskötare och elevassistenter m.fl.,Childcare and student assistants,98543,106758,115195,122579,126842,170284
532,0.4,Undersköterskor,Assistant nurses,181670,184435,186915,186815,183057,194015
