date;BNP-gap
2001-01-01;1.00012911109633
2001-04-01;0.365831834071551
2001-07-01;0.22206681309247
2001-10-01;0.607677016183383
2002-01-01;-0.0650398224184667
2002-04-01;0.829958145156828
2002-07-01;0.652617752748763
2002-10-01;0.175676436467098
2003-01-01;0.454958998880861
2003-04-01;-0.74472098852818
2003-07-01;-0.219129323071321
2003-10-01;-0.270817658963474
2004-01-01;0.594036933977682
2004-04-01;0.405338221590701
2004-07-01;0.227242900359581
2004-10-01;0.23016614210285
2005-01-01;-0.28075521545825
2005-04-01;-0.536297589596713
2005-07-01;-0.261679272119975
2005-10-01;-0.331035115519884
2006-01-01;0.43287939448764
2006-04-01;1.39794945614824
2006-07-01;1.83424549064759
2006-10-01;1.80020769990525
2007-01-01;2.25647051020565
2007-04-01;2.12930349804021
2007-07-01;2.20500622320665
2007-10-01;2.52632125418037
2008-01-01;1.58923728811484
2008-04-01;0.901374801600996
2008-07-01;-0.0373902280627503
2008-10-01;-4.16848472070432
2009-01-01;-5.25308889915784
2009-04-01;-5.73757189359221
2009-07-01;-6.28877688031174
2009-10-01;-6.49662768173772
2010-01-01;-3.74002977547929
2010-04-01;-2.5631040552799
2010-07-01;-2.08699153329205
2010-10-01;-1.06075744292562
2011-01-01;-0.773046373452924
2011-04-01;-1.05547380808003
2011-07-01;-0.383943038143342
2011-10-01;-1.94336540114307
2012-01-01;-2.11030078663793
2012-04-01;-2.37823946679161
2012-07-01;-3.041102763623
2012-10-01;-3.89192450686372
2013-01-01;-3.19259973687483
2013-04-01;-3.68417024732773
2013-07-01;-3.6129721230128
2013-10-01;-3.08753982249842
2014-01-01;-2.74379567848947
2014-04-01;-2.24997852582663
2014-07-01;-2.02080610922167
2014-10-01;-1.64627112792987
2015-01-01;-0.849688294952999
2015-04-01;-0.347399148899463
2015-07-01;0.555791233300162
2015-10-01;1.0016892806721
2016-01-01;0.771679121941737
2016-04-01;0.433320399306036
2016-07-01;0.390822814985148
2016-10-01;0.476713215165936
2017-01-01;0.28958223937543
2017-04-01;0.918036550259105
2017-07-01;1.55514373217294
2017-10-01;1.24482797422103
2018-01-01;1.49102542296904
2018-04-01;1.64821519406306
2018-07-01;0.604231067441519
2018-10-01;1.34414450969522
2019-01-01;0.862857382070525
2019-04-01;0.587545129291001
2019-07-01;0.473373435589886
2019-10-01;0.162111941986454
2020-01-01;-0.757027740855032
2020-04-01;-7.44754244476905
2020-07-01;-5.91144115046578
2020-10-01;-4.32009864749157
2021-01-01;-3.69268933152574
2021-04-01;-3.19777377938892
2021-07-01;-2.77559102222829
2021-10-01;-2.40229354777216
